,Title_Review,Stars,Company_name,Recommend,CEO_approval,Business_outlook,Pros,Cons,Employee_seniority,Location,Date,id
3015,"['great', 'freedom', 'navigation']",5.0,['amazon'],['positive'],['positive'],['positive'],"['room', 'grow', 'best']","['ambiguous', 'peculiar', 'culture', 'learning']","['current', 'employee', '1', 'year']","['washington', 'dc']","['jan.', '9', '2023']",empReview_72457688
3016,['good'],5.0,['amazon'],['neutral'],['neutral'],['neutral'],"['provide', 'good', 'environment', 'culture']","[""n't"", 'find', 'con']","['current', 'employee']",['nan'],"['jan.', '9', '2023']",empReview_72458374
3017,"['review', 'amazon']",5.0,['amazon'],['neutral'],['neutral'],['neutral'],"['free', 'banana', 'large', 'company']","['low', 'pay', 'rate', 'bad', 'work', 'life', 'balance']","['current', 'employee']","['seattle', 'wa']","['jan.', '9', '2023']",empReview_72458437
3018,"['overall', 'great']",5.0,['amazon'],['positive'],['positive'],['positive'],"['work', 'life', 'balance', 'amaze', 'people', 'management', 'meaningful', 'work']","['give', 'scale', 'amazon', 'find', 'specific', 'internal', 'contact', 'challenge', 'pay', 'industry', 'competitor', 'much', 'high', 'much', 'stock', 'option', 'depend', 'prefer', 'upper', 'management', 'sometimes', 'stick', 'old', 'way', 'refuse', 'see', 'change']","['current', 'employee', '1', 'year']","['seattle', 'wa']","['jan.', '9', '2023']",empReview_72459219
3019,[],5.0,['amazon'],['neutral'],['neutral'],['neutral'],"['great', 'workplace', 'challenge', 'fast', 'pace']","['face', 'past', 'metric', 'orient']","['current', 'employee', 'less', '1', 'year']","['liverpool', 'england']","['jan.', '9', '2023']",empReview_72461416
3020,"['marketing', 'manager']",5.0,['amazon'],['positive'],['positive'],['positive'],"['depends', 'team', 'general', 'great', 'colleague', 'inclusive', 'atmosphere', 'lot', 'development', 'opportunity']","['hustle', 'culture', 'competitive', 'job', 'great', 'enough']","['current', 'employee', '5', 'year']","['manager', 'berlin']","['jan.', '10', '2023']",empReview_72474920
3021,"['good', 'employer', 'benefit']",5.0,['amazon'],['positive'],['error'],['error'],"['good', 'benefit', 'good', 'work', 'culture', 'help', 'colleague']","['feel', 'bit', 'lost', 'begining']","['current', 'employee', 'less', '1', 'year']","['london', 'england']","['jan.', '10', '2023']",empReview_72475370
3022,['amazon'],5.0,['amazon'],['positive'],['positive'],['positive'],"['grow', 'amazon', 'good', 'aim', 'achieve', 'something', 'big', 'amazon', 'support', 'grow', 'much', 'talent', 'skill']","['person', 'come', 'sit', 'idle', 'job', 'place']","['current', 'employee', 'less', '1', 'year']","['associate', 'bangalore']","['jan.', '10', '2023']",empReview_72476781
3023,"['salary', 'amazon', 'sde', '2']",5.0,['amazon'],['positive'],['positive'],['neutral'],"['great', 'pay', 'scale', 'problem']","['many', 'perk', 'basic', 'salary', 'structure']","['current', 'employee', '1', 'year']","['ii', 'bangalore']","['jan.', '10', '2023']",empReview_72477232
3024,['dsp'],5.0,['amazon'],['neutral'],['neutral'],['neutral'],"['good', 'pay', '4', 'day', 'work', 'week']","['con', 'share']","['former', 'employee']","['alpharetta', 'ga']","['jan.', '10', '2023']",empReview_72477327
3025,['great'],5.0,['amazon'],['neutral'],['neutral'],['neutral'],"['great', 'work', 'environment', 'leader']","['nepotism', 'rest', 'everything', 'good']","['former', 'employee']",['nan'],"['jan.', '10', '2023']",empReview_72477835
3026,"['good', 'experience']",5.0,['amazon'],['neutral'],['neutral'],['neutral'],"['great', 'benefit', 'work', 'company']","['provide', 'good', 'training']","['former', 'employee', 'less', '1', 'year']",['nan'],"['jan.', '10', '2023']",empReview_72478041
3027,"['great', 'work', 'environment']",5.0,['amazon'],['positive'],['neutral'],['neutral'],"['nice', 'work', 'environment', 'great', 'teammates', 'manager', ""'s"", 'always', 'something', 'new', 'learn', 'advance', 'emerge', 'technology', 'smartworking']","[""n't"", 'find', 'particular', 'con', 'yet']","['current', 'employee', 'less', '1', 'year']",['nan'],"['jan.', '10', '2023']",empReview_72480068
