id,current_employee,Pros_Dominant_Topic,Pros_Topic_Perc_Contrib,Pros_Keywords,Cons_Dominant_Topic,Cons_Topic_Perc_Contrib,Cons_Keywords
empReview_56119541,former employee,0,0.9261,"good, work, great, pay, benefit, time, job, environment, day, salary",0,0.5475,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_55211758,former employee,0,0.9472,"good, work, great, pay, benefit, time, job, environment, day, salary",0,0.6195,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_55227852,current employee,0,0.9384,"good, work, great, pay, benefit, time, job, environment, day, salary",0,0.7699,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_56802263,current employee,1,0.858,"opportunity, learn, amazon, lot, growth, work, team, company, get, people",2,0.6246,"n't, con, job, manager, amazon, employee, like, make, people, many"
empReview_55885285,former employee,0,0.9384,"good, work, great, pay, benefit, time, job, environment, day, salary",2,0.4358,"n't, con, job, manager, amazon, employee, like, make, people, many"
empReview_55830628,former employee,0,0.9624,"good, work, great, pay, benefit, time, job, environment, day, salary",0,0.8667,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_55131619,current employee,0,0.8599,"good, work, great, pay, benefit, time, job, environment, day, salary",2,0.5554,"n't, con, job, manager, amazon, employee, like, make, people, many"
empReview_55176353,current employee,0,0.73,"good, work, great, pay, benefit, time, job, environment, day, salary",2,0.4443,"n't, con, job, manager, amazon, employee, like, make, people, many"
empReview_55129335,current employee,1,0.7481,"opportunity, learn, amazon, lot, growth, work, team, company, get, people",0,0.5891,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_55140514,current employee,0,0.8955,"good, work, great, pay, benefit, time, job, environment, day, salary",1,0.8421,"get, bad, pay, balance, good, culture, life, team, could, company"
empReview_55142882,current employee,0,0.5202,"good, work, great, pay, benefit, time, job, environment, day, salary",0,0.8546,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_52986088,current employee,0,0.5006,"good, work, great, pay, benefit, time, job, environment, day, salary",0,0.4983,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_52229519,current employee,0,0.5001,"good, work, great, pay, benefit, time, job, environment, day, salary",1,0.5335,"get, bad, pay, balance, good, culture, life, team, could, company"
empReview_52245948,current employee,0,0.8111,"good, work, great, pay, benefit, time, job, environment, day, salary",0,0.6195,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
